ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
142,24d09m39.0s,15d47m27.6s,29,28,29,-90,2,21,2.5,24.160833333333333,15.791
143,24d09m39.0s,15d47m28.9s,32,30,31,-90,2,22,2.53,24.160833333333333,15.791361111111112
144,24d09m39.0s,15d46m15.5s,33,32,32,0,4,-70,3.06,24.160833333333333,15.770972222222223
145,24d09m39.2s,15d47m8.0s,20,20,20,-90,2,20,2.17,24.160888888888888,15.785555555555556
146,24d09m39.3s,15d47m6.3s,20,18,19,0,2,25,2.16,24.160916666666665,15.785083333333333
147,24d09m39.3s,15d45m57.0s,33,29,32,0,4,83,3.73,24.160916666666665,15.765833333333333
148,24d09m40.2s,15d47m28.7s,34,34,34,-90,2,11,2.48,24.161166666666666,15.791305555555555
149,24d09m40.5s,15d46m5.6s,32,26,30,0,4,10,3.37,24.16125,15.768222222222223
150,24d09m40.9s,15d47m11.8s,27,24,26,0,2,4,2.13,24.16136111111111,15.78661111111111
151,24d09m41.1s,15d48m37.3s,26,24,25,0,3,-63,5.03,24.161416666666664,15.810361111111112
152,24d09m41.2s,15d47m12.5s,21,21,21,-90,2,2,2.12,24.16144444444444,15.786805555555555
153,24d09m41.2s,15d46m45.9s,33,32,33,0,2,69,2.18,24.16144444444444,15.779416666666668
154,24d09m41.3s,15d47m10.8s,26,25,25,-90,2,2,2.1,24.16147222222222,15.786333333333333
155,24d09m41.6s,15d46m50.2s,22,19,21,0,2,49,2.1,24.161555555555555,15.780611111111112
156,24d09m41.7s,15d48m32.8s,39,37,38,0,3,-95,4.82,24.161583333333333,15.809111111111111
157,24d09m42.0s,15d47m12.1s,29,28,29,-90,2,-5,2.08,24.161666666666665,15.786694444444445
158,24d09m42.1s,15d47m14.9s,56,47,53,-90,2,-12,2.12,24.161694444444443,15.787472222222222
159,24d09m42.1s,15d47m10.9s,26,22,25,-90,2,-5,2.06,24.161694444444443,15.78636111111111
160,24d09m42.3s,15d46m38.5s,33,28,31,0,2,98,2.28,24.161749999999998,15.777361111111112
161,24d09m42.3s,15d46m3.0s,40,33,38,0,4,27,3.42,24.161749999999998,15.7675
162,24d09m42.7s,15d47m1.3s,30,26,28,-90,2,2,1.98,24.16186111111111,15.783694444444444
163,24d09m42.8s,15d48m31.2s,54,50,53,-90,3,-112,4.73,24.16188888888889,15.808666666666667
164,24d09m42.9s,15d47m12.7s,31,31,31,0,2,-12,2.05,24.161916666666666,15.786861111111111
165,24d09m43.1s,15d46m41.1s,42,40,41,0,2,80,2.18,24.16197222222222,15.778083333333335
166,24d09m43.2s,15d47m15.1s,55,53,54,0,2,-21,2.07,24.162,15.787527777777777
167,24d09m43.2s,15d48m33.8s,77,71,75,0,3,-98,4.84,24.162,15.80938888888889
168,24d09m43.3s,15d47m1.3s,22,18,20,-90,2,-2,1.96,24.162027777777777,15.783694444444444
169,24d09m43.3s,15d46m10.0s,29,26,28,0,4,-36,3.13,24.162027777777777,15.769444444444446
